"Country","per1000","x2015","x2010","x2005","x2000"
"Afghanistan",0.06,1000,1000,500,500
"Algeria",0.02,500,1000,1000,500
"Angola",1.86,26000,28000,26000,21000
"Argentina",0.23,5100,5300,5500,5600
"Armenia",0.26,500,500,500,500
"Australia",0.1,1200,1100,1100,1000
"Azerbaijan",0.2,1200,1000,1000,500
"Bahamas",2.26,500,500,500,500
"Bangladesh",0.01,1100,1400,1100,500
"Barbados",1.19,200,200,200,200
"Belarus",1.05,5300,2600,2400,1700
"Belize",0.82,200,200,500,500
"Benin",0.69,4200,4400,5200,7200
"Bolivia (Plurinational State of)",0.24,1300,1500,1200,1100
"Botswana",9.37,9700,12000,15000,24000
"Brazil",0.39,44000,43000,42000,39000
"Burkina Faso",0.45,4200,5000,5300,7600
"Burundi",0.18,1200,3100,5600,13000
"CÖ¢te d'Ivoire",1.88,25000,26000,33000,52000
"Cabo Verde",0.6,200,200,500,500
"Cambodia",0.08,1000,1700,4400,10000
"Cameroon",3.57,44000,45000,48000,54000
"Central African Republic",2.4,7000,7700,8700,16000
"Chad",1.02,8300,11000,18000,21000
"Chile",0.19,1800,1700,1600,1400
"Colombia",0.39,11000,10000,9200,7600
"Costa Rica",0.24,1000,1000,1000,500
"Cuba",0.48,3100,1700,1000,500
"Democratic Republic of the Congo",0.34,15000,23000,41000,56000
"Djibouti",1.09,1000,1000,1000,1500
"Dominican Republic",0.36,2000,2300,4200,10000
"Ecuador",0.15,1300,1500,2000,2200
"Egypt",0.03,1500,1000,1000,500
"El Salvador",0.15,1000,1100,1700,1900
"Equatorial Guinea",0.24,500,2300,3600,1800
"Eritrea",0.21,1000,500,1000,1600
"Gabon",1.39,1500,2300,3900,5400
"Gambia",1.24,1400,1600,2000,2200
"Georgia",0.5,1100,1000,1000,500
"Ghana",0.77,13000,18000,23000,30000
"Greece",0.19,1000,1000,1000,1000
"Guatemala",0.41,3700,3000,4400,3800
"Guinea",1.18,7600,9400,9400,9000
"Guyana",0.88,500,500,1000,1000
"Haiti",0.21,1500,3700,11000,26000
"Honduras",0.1,500,1000,1000,1600
"India",0.11,86000,100000,150000,250000
"Indonesia",0.5,73000,69000,58000,14000
"Iran (Islamic Republic of)",0.14,7100,6600,5900,5500
"Italy",0.16,4500,4700,4800,8400
"Jamaica",1.07,1700,1600,2000,2600
"Kazakhstan",0.36,3700,1900,1200,1000
"Kenya",3.52,78000,83000,72000,80000
"Kyrgyzstan",0.28,1000,1000,1000,500
"Latvia",0.53,500,1000,1000,1000
"Lebanon",0.05,200,200,200,100
"Lesotho",18.8,18000,19000,25000,27000
"Liberia",0.56,1600,1700,2500,4500
"Madagascar",0.5,6300,3300,2400,6900
"Malawi",3.82,33000,56000,76000,97000
"Malaysia",0.27,5200,8500,11000,13000
"Mali",1.05,10000,9700,8900,8400
"Mauritania",0.28,1000,1000,1200,1600
"Mauritius",0.42,500,1000,1000,1200
"Mexico",0.16,11000,10000,9600,9500
"Mongolia",0.03,100,100,100,100
"Morocco",0.07,1200,1800,2100,2100
"Mozambique",7.07,81000,130000,130000,120000
"Myanmar",0.41,12000,15000,24000,37000
"Namibia",6.79,7800,9200,13000,21000
"Nepal",0.08,1300,2300,5400,7500
"Nicaragua",0.23,1000,1000,500,1000
"Niger",0.19,2400,1900,4300,8700
"Pakistan",0.16,17000,11000,4000,1600
"Panama",0.48,1000,1000,1000,1000
"Papua New Guinea",0.54,2700,2400,2900,4600
"Paraguay",0.3,1100,1200,1400,1500
"Peru",0.17,2800,3100,4100,5100
"Philippines",0.12,6400,4200,1100,1000
"Republic of Moldova",0.55,1400,1800,1600,1500
"Rwanda",1.41,7500,9000,12000,16000
"Senegal",0.14,1600,1600,4700,6600
"Sierra Leone",0.69,2500,4000,6400,5100
"Somalia",0.48,3000,2800,3000,3300
"South Africa",14.4,380000,350000,470000,790000
"South Sudan",NA,15000,15000,14000,15000
"Spain",0.14,3000,3600,2700,2800
"Sri Lanka",0.05,1000,500,500,200
"Sudan",NA,5600,5400,4600,2700
"Suriname",0.62,200,200,500,500
"Swaziland",23.6,11000,15000,14000,16000
"Tajikistan",0.33,1600,1600,1200,1000
"Thailand",0.2,6900,12000,18000,31000
"Togo",1.21,4400,5100,9500,17000
"Trinidad and Tobago",0.52,500,1000,1000,1000
"Tunisia",0.04,500,500,200,100
"Uganda",5.12,83000,130000,100000,72000
"Ukraine",0.68,16000,9500,21000,36000
"United Republic of Tanzania",2.11,54000,82000,110000,130000
"Uruguay",0.27,500,1000,1000,1000
"Uzbekistan",0.02,500,1000,6600,7700
"Venezuela (Bolivarian Republic of)",0.33,5600,6000,6600,7100
"Viet Nam",0.28,14000,19000,25000,26000
"Yemen",0.07,1000,1000,1000,500
"Zambia",8.55,60000,73000,81000,90000
"Zimbabwe",8.84,64000,79000,87000,120000
